short_name,overall,potential, value_eur , wage_eur ,age,height_cm,weight_kg,club_name,league_name,club_position,attack_position,nationality_name,preferred_foot,international_reputation,body_type,pace,shooting,passing,dribbling,defending,physic
Lucas Moura,81,81,26000000,105000,28,174,70,Tottenham Hotspur,English Premier League,RW,Attack,Brazil,Right,3,Unique,90,79,70,86,43,68
J. Tarkowski,81,82,24500000,46000,28,188,81,Burnley,English Premier League,RCB,Defense,England,Right,1,Normal (185+),57,45,67,65,82,81
Iñigo Martínez,81,81,21000000,33000,30,182,77,Athletic Club de Bilbao,Spain Primera Division,LCB,Defense,Spain,Left,2,Normal (170-185),71,56,66,64,81,79
A. Milik,81,82,30000000,81000,27,186,78,Olympique de Marseille,French Ligue 1,ST,Attack,Poland,Left,3,Normal (185+),64,84,67,76,39,71
J. Ward-Prowse,81,84,33500000,69000,26,173,66,Southampton,English Premier League,RCM,Midfield,England,Right,2,Normal (170-185),59,74,86,78,67,73
A. Cragno,81,83,23500000,32000,27,184,78,Cagliari,Italian Serie A,GK,GoalKeeper,Italy,Right,1,Lean (170-185),,,,,,
A. Januzaj,81,81,28000000,45000,26,186,76,Real Sociedad,Spain Primera Division,RW,Attack,Belgium,Left,1,Lean (185+),79,75,80,83,30,58
A. Belotti,81,82,30000000,61000,27,181,84,Torino F.C.,Italian Serie A,ST,Attack,Italy,Right,3,Normal (170-185),76,81,59,78,38,83
Fred,81,81,22500000,120000,28,169,62,Manchester United,English Premier League,LDM,Midfield,Brazil,Left,3,Lean (170-),77,66,77,81,75,71
A. Rabiot,81,82,30000000,87000,26,192,80,Juventus,Italian Serie A,LDM,Midfield,France,Left,2,Lean (185+),76,74,76,80,76,79
Rui Silva,81,84,25500000,24000,27,191,91,Real Betis Balompié,Spain Primera Division,GK,GoalKeeper,Portugal,Right,1,Normal (185+),,,,,,
P. Zieliński,81,82,29500000,74000,27,180,75,Napoli,Italian Serie A,CAM,Midfield,Poland,Right,3,Lean (170-185),81,75,81,85,70,61
D. Machís,81,81,26000000,34000,28,174,74,Granada CF,Spain Primera Division,RM,Midfield,Venezuela,Right,1,Stocky (170-185),88,80,75,83,38,70
J. Musso,81,83,23500000,44000,27,191,93,Atalanta,Italian Serie A,GK,GoalKeeper,Argentina,Right,1,Normal (185+),,,,,,
Iñaki Williams,81,82,30000000,39000,27,186,80,Athletic Club de Bilbao,Spain Primera Division,LS,Attack,Spain,Right,2,Normal (185+),94,78,72,78,37,81
M. Politano,81,81,27500000,74000,27,171,67,Napoli,Italian Serie A,RW,Attack,Italy,Left,2,Normal (170-185),83,77,78,84,42,55
Morales,81,81,16500000,41000,33,180,70,Levante Unión Deportiva,Spain Primera Division,LS,Attack,Spain,Right,2,Lean (170-185),86,82,75,85,52,68
D. Djené,81,82,24000000,36000,29,178,72,Getafe CF,Spain Primera Division,RCB,Defense,Togo,Right,1,Normal (170-185),69,37,62,62,83,79
D. Calvert-Lewin,81,85,37500000,90000,24,187,71,Everton,English Premier League,ST,Attack,England,Right,2,Unique,83,77,64,77,39,82
David Soria,81,82,20500000,30000,28,192,85,Getafe CF,Spain Primera Division,GK,GoalKeeper,Spain,Right,1,Lean (185+),,,,,,
K. Phillips,81,85,32500000,82000,25,178,72,Leeds United,English Premier League,CDM,Midfield,England,Right,2,Stocky (170-185),67,65,76,75,78,82
Gonçalo Guedes,81,86,39000000,39000,24,179,68,Valencia CF,Spain Primera Division,LS,Attack,Portugal,Right,2,Normal (170-185),86,79,76,82,36,68
N. Pépé,81,82,30500000,95000,26,183,73,Arsenal,English Premier League,RM,Midfield,Côte d'Ivoire,Left,2,Unique,88,79,75,83,36,65
Álex Remiro,81,84,26000000,31000,26,191,83,Real Sociedad,Spain Primera Division,GK,GoalKeeper,Spain,Right,1,Lean (185+),,,,,,
Yeray,81,83,28000000,33000,26,182,79,Athletic Club de Bilbao,Spain Primera Division,RCB,Defense,Spain,Right,2,Normal (170-185),68,49,62,64,82,77
L. Pellegrini,81,86,38000000,61000,25,186,77,Roma,Italian Serie A,CAM,Midfield,Italy,Right,2,Normal (185+),78,74,81,80,72,77
R. Malinovskyi,81,81,26500000,68000,28,181,79,Atalanta,Italian Serie A,RF,Attack,Ukraine,Left,3,Stocky (170-185),74,80,83,81,64,79
Lucas Paquetá,81,86,38500000,65000,23,180,72,Olympique Lyonnais,French Ligue 1,CAM,Midfield,Brazil,Left,2,Normal (170-185),74,75,79,83,69,78
Carlos Soler,81,88,51500000,39000,24,180,76,Valencia CF,Spain Primera Division,RM,Midfield,Spain,Right,2,Lean (170-185),78,77,82,79,71,71
H. Barnes,81,84,35000000,95000,23,180,66,Leicester City,English Premier League,LM,Midfield,England,Right,1,Normal (170-185),86,77,76,81,45,63
H. Aouar,81,86,38500000,65000,23,175,70,Olympique Lyonnais,French Ligue 1,LM,Midfield,France,Right,2,Unique,75,75,81,85,66,71
M. Lazzari,81,81,25000000,64000,27,174,67,Lazio,Italian Serie A,RB,Defense,Italy,Right,2,Lean (170-185),92,62,76,82,70,65
R. James,81,86,37000000,76000,21,178,87,Chelsea,English Premier League,RCB,Defense,England,Right,2,Stocky (170-185),80,58,77,77,76,80
Reguilón,81,84,32500000,79000,24,178,68,Tottenham Hotspur,English Premier League,LB,Defense,Spain,Left,1,Lean (170-185),86,58,75,78,78,70
Pedri,81,91,54000000,51000,18,174,61,FC Barcelona,Spain Primera Division,LCM,Midfield,Spain,Right,2,Lean (170-185),78,65,79,84,66,63
João Moutinho,80,80,9500000,88000,34,170,61,Wolverhampton Wanderers,English Premier League,LCM,Midfield,Portugal,Right,3,Normal (170-),50,72,84,80,70,66
Raúl García,80,80,10500000,36000,34,184,83,Athletic Club de Bilbao,Spain Primera Division,RS,Attack,Spain,Right,2,Normal (170-185),41,82,81,78,65,83
D. Wass,80,80,14500000,38000,32,181,74,Valencia CF,Spain Primera Division,RCM,Midfield,Denmark,Right,2,Normal (170-185),74,77,80,77,76,76
D. Payet,80,80,10000000,51000,34,175,77,Olympique de Marseille,French Ligue 1,CF,Attack,France,Right,3,Stocky (170-185),69,77,83,82,38,67
Nacho Monreal,80,80,6500000,26000,35,180,77,Real Sociedad,Spain Primera Division,LB,Defense,Spain,Left,2,Lean (170-185),65,61,74,74,80,68
D. Godín,80,80,5500000,27000,35,187,78,Cagliari,Italian Serie A,CB,Defense,Uruguay,Right,3,Lean (185+),57,48,63,61,80,78
A. Ogbonna,80,80,10000000,70000,33,191,86,West Ham United,English Premier League,LCB,Defense,Italy,Left,2,Normal (185+),56,40,60,62,82,76
José Callejón,80,80,10000000,61000,34,178,73,Fiorentina,Italian Serie A,RW,Attack,Spain,Right,3,Lean (170-185),77,76,76,81,48,59
Rafael Tolói,80,80,17500000,51000,30,185,75,Atalanta,Italian Serie A,RCB,Defense,Italy,Right,2,Lean (185+),66,47,58,64,82,80
Guaita,80,80,3600000,48000,34,190,80,Crystal Palace,English Premier League,GK,GoalKeeper,Spain,Right,2,Normal (185+),,,,,,
R. Pereyra,80,80,20000000,23000,30,182,77,Udinese Calcio,Italian Serie A,CM,Midfield,Argentina,Right,2,Lean (170-185),76,74,79,81,68,73
Bartra,80,80,17500000,28000,30,184,73,Real Betis Balompié,Spain Primera Division,RCB,Defense,Spain,Right,3,Lean (170-185),71,61,72,73,80,74
João Pedro,80,80,21000000,46000,29,184,73,Cagliari,Italian Serie A,LS,Attack,Brazil,Right,1,Lean (170-185),72,78,77,81,41,74
A. Mandi,80,81,19500000,37000,29,184,78,Villarreal CF,Spain Primera Division,LCB,Defense,Algeria,Right,1,Lean (170-185),66,46,74,70,81,74
R. Freuler,80,80,20500000,58000,29,180,80,Atalanta,Italian Serie A,LCM,Midfield,Switzerland,Right,2,Normal (170-185),69,71,77,78,75,73
T. Savanier,80,80,20500000,35000,29,172,69,Montpellier Hérault SC,French Ligue 1,CAM,Midfield,France,Right,2,Normal (170-185),67,74,83,82,69,69
M. Keane,80,81,20000000,84000,28,191,82,Everton,English Premier League,LCB,Defense,England,Right,2,Normal (185+),55,49,65,65,82,80
Roger,80,80,20500000,38000,30,179,74,Levante Unión Deportiva,Spain Primera Division,RS,Attack,Spain,Right,2,Normal (170-185),77,82,63,77,41,74
Pacheco,80,82,17500000,25000,29,186,81,Deportivo Alavés,Spain Primera Division,GK,GoalKeeper,Spain,Left,1,Normal (185+),,,,,,
D. Alli,80,82,26500000,90000,25,188,80,Tottenham Hotspur,English Premier League,LCM,Midfield,England,Right,3,Unique,68,78,78,82,65,75
A. Christensen,80,85,28000000,95000,25,187,81,Chelsea,English Premier League,CB,Defense,Denmark,Right,2,Lean (185+),65,31,65,68,83,72
W. Benítez,80,82,18000000,32000,28,191,93,OGC Nice,French Ligue 1,GK,GoalKeeper,Argentina,Right,2,Normal (185+),,,,,,
G. Rulli,80,80,14500000,31000,29,189,84,Villarreal CF,Spain Primera Division,GK,GoalKeeper,Argentina,Right,3,Normal (185+),,,,,,
Capa,80,80,18500000,32000,29,175,75,Athletic Club de Bilbao,Spain Primera Division,RB,Defense,Spain,Right,2,Stocky (170-185),82,64,76,77,74,88
G. Di Lorenzo,80,80,20500000,63000,27,183,83,Napoli,Italian Serie A,RB,Defense,Italy,Right,2,Normal (170-185),84,66,73,76,76,79
Embarba,80,80,20500000,26000,29,173,68,RCD Espanyol de Barcelona,Spain Primera Division,RM,Midfield,Spain,Right,1,Normal (170-185),83,77,78,79,55,72
J. Denayer,80,83,24500000,64000,26,184,80,Olympique Lyonnais,French Ligue 1,LCB,Defense,Belgium,Right,3,Normal (170-185),83,43,67,71,81,81
Borja Iglesias,80,80,21500000,34000,28,187,86,Real Betis Balompié,Spain Primera Division,ST,Attack,Spain,Right,1,Normal (185+),65,80,64,74,35,80
Joan Jordán,80,81,24500000,33000,26,183,74,Sevilla FC,Spain Primera Division,RCM,Midfield,Spain,Right,1,Lean (170-185),63,75,81,77,67,76
J. Bamba,80,83,28000000,42000,25,175,70,LOSC Lille,French Ligue 1,LM,Midfield,France,Right,2,Normal (170-185),89,75,74,81,39,69
Álex Berenguer,80,81,25000000,32000,25,175,73,Athletic Club de Bilbao,Spain Primera Division,RM,Midfield,Spain,Right,1,Normal (170-185),82,76,76,81,63,65
K. Tierney,80,86,31000000,69000,24,178,70,Arsenal,English Premier League,LB,Defense,Scotland,Left,2,Normal (170-185),84,60,75,77,75,79
Nélson Semedo,80,81,22000000,81000,27,177,69,Wolverhampton Wanderers,English Premier League,RWB,Defense,Portugal,Right,2,Unique,82,57,68,81,75,75
G. Mancini,80,84,26500000,52000,25,190,77,Roma,Italian Serie A,RCB,Defense,Italy,Right,2,Normal (185+),61,45,50,59,80,84
Gerson,80,84,30000000,41000,24,184,72,Olympique de Marseille,French Ligue 1,CM,Midfield,Brazil,Left,2,Normal (170-185),74,64,79,80,78,77
Renato Sanches,80,86,33000000,38000,23,176,70,LOSC Lille,French Ligue 1,LCM,Midfield,Portugal,Right,3,Normal (170-185),84,74,77,84,72,84
Ç. Söyüncü,80,83,25000000,88000,25,185,82,Leicester City,English Premier League,RCB,Defense,Turkey,Right,1,Normal (185+),76,46,60,67,80,80
V. Osimhen,80,87,43000000,66000,22,185,78,Napoli,Italian Serie A,ST,Attack,Nigeria,Right,2,Lean (185+),88,80,63,75,39,81
B. Kamara,80,86,31000000,30000,21,184,68,Olympique de Marseille,French Ligue 1,RDM,Midfield,France,Right,2,Lean (170-185),74,50,72,73,79,78
A. Bastoni,80,89,44500000,77000,22,190,75,Inter,Italian Serie A,LCB,Defense,Italy,Left,1,Lean (185+),65,33,65,69,82,80
M. Gómez,80,85,32000000,40000,24,186,84,Valencia CF,Spain Primera Division,RS,Attack,Uruguay,Right,1,Stocky (185+),66,81,68,73,32,82
V. Coufal,80,80,19000000,73000,28,175,76,West Ham United,English Premier League,RB,Defense,Czech Republic,Right,1,Normal (170-185),77,56,73,75,78,81
B. Saka,80,88,45500000,50000,19,178,65,Arsenal,English Premier League,LM,Midfield,England,Left,2,Lean (170-185),84,68,76,82,65,64
F. Ribéry,79,79,6000000,41000,38,170,72,US Salernitana 1919,Italian Serie A,RS,Attack,France,Right,4,Normal (170-),69,73,81,85,30,53
B. Costil,79,79,5500000,24000,33,187,82,FC Girondins de Bordeaux,French Ligue 1,GK,GoalKeeper,France,Right,2,Normal (185+),,,,,,
A. Candreva,79,79,8000000,25000,34,180,70,U.C. Sampdoria,Italian Serie A,RM,Midfield,Italy,Right,3,Normal (170-185),72,78,79,80,61,62
D. Ospina,79,79,8500000,48000,32,183,80,Napoli,Italian Serie A,GK,GoalKeeper,Colombia,Right,2,Normal (170-185),,,,,,
O. Giroud,79,79,8500000,48000,34,193,91,AC Milan,Italian Serie A,ST,Attack,France,Left,3,Normal (185+),39,80,70,71,42,77
A. Cresswell,79,79,12500000,66000,31,175,66,West Ham United,English Premier League,LB,Defense,England,Left,2,Normal (170-185),70,60,75,76,77,68
B. Mee,79,79,12000000,39000,31,180,82,Burnley,English Premier League,LCB,Defense,England,Left,1,Normal (170-185),62,42,58,63,81,78
M. Antonio,79,79,15000000,79000,31,178,82,West Ham United,English Premier League,ST,Attack,Jamaica,Right,2,Stocky (170-185),83,76,73,78,55,83
M. Silvestri,79,79,11500000,16000,30,191,80,Udinese Calcio,Italian Serie A,GK,GoalKeeper,Italy,Right,1,Normal (185+),,,,,,
C. Wood,79,79,17500000,48000,29,191,92,Burnley,English Premier League,RS,Attack,New Zealand,Right,1,Normal (185+),64,79,60,70,40,81
Marcos Alonso,79,79,15000000,95000,30,188,85,Chelsea,English Premier League,LWB,Defense,Spain,Left,2,Lean (185+),58,74,78,77,75,77
Mario Gaspar,79,79,15000000,34000,30,180,77,Villarreal CF,Spain Primera Division,RB,Defense,Spain,Right,2,Normal (170-185),74,69,71,72,78,76
X. Shaqiri,79,79,17000000,75000,29,169,72,Olympique Lyonnais,French Ligue 1,RM,Midfield,Switzerland,Left,3,Unique,75,76,80,81,46,67
C. Wilson,79,79,17500000,53000,29,180,66,Newcastle United,English Premier League,RS,Attack,England,Right,2,Normal (170-185),80,78,66,78,41,77
Germán,79,79,5500000,26000,34,187,82,Granada CF,Spain Primera Division,LCB,Defense,Spain,Right,1,Normal (185+),49,40,59,56,81,79
Lucas Pérez,79,79,14000000,28000,32,180,73,Elche CF,Spain Primera Division,LS,Attack,Spain,Left,2,Normal (170-185),79,82,75,77,32,69
G. Xhaka,79,79,15500000,80000,28,185,82,Arsenal,English Premier League,LDM,Midfield,Switzerland,Left,3,Normal (185+),50,64,79,69,69,80
G. Kondogbia,79,79,17500000,58000,28,188,76,Atlético de Madrid,Spain Primera Division,CDM,Midfield,Central African Republic,Left,2,Lean (185+),68,74,75,77,78,89
C. Coady,79,81,17500000,80000,28,186,80,Wolverhampton Wanderers,English Premier League,CB,Defense,England,Right,1,Normal (185+),47,58,75,67,79,75
E. Dier,79,80,17500000,81000,27,190,90,Tottenham Hotspur,English Premier League,LCB,Defense,England,Right,2,Stocky (185+),53,64,69,64,79,83
Deulofeu,79,79,18500000,22000,27,177,73,Udinese Calcio,Italian Serie A,CF,Attack,Spain,Right,3,Normal (170-185),88,73,73,83,30,64
S. Arias,79,79,15500000,53000,29,178,72,Granada CF,Spain Primera Division,RB,Defense,Colombia,Right,2,Normal (170-185),77,53,70,76,77,74
Manu Trigueros,79,79,17000000,39000,29,178,75,Villarreal CF,Spain Primera Division,RCM,Midfield,Spain,Right,2,Normal (170-185),56,71,78,78,70,67
A. Doucouré,79,79,17500000,87000,28,184,76,Everton,English Premier League,RDM,Midfield,France,Right,2,Unique,70,76,72,76,77,81
B. Djimsiti,79,81,17500000,51000,28,190,83,Atalanta,Italian Serie A,LCB,Defense,Albania,Right,1,Normal (185+),68,39,59,50,82,79
De Tomás,79,82,23000000,26000,26,180,79,RCD Espanyol de Barcelona,Spain Primera Division,LS,Attack,Spain,Right,1,Normal (170-185),75,82,68,81,35,68
Rubén García,79,79,18500000,33000,27,171,71,CA Osasuna,Spain Primera Division,LM,Midfield,Spain,Left,1,Normal (170-185),80,76,79,79,45,58
José Sá,79,81,15000000,65000,28,192,84,Wolverhampton Wanderers,English Premier League,GK,GoalKeeper,Portugal,Right,1,Normal (185+),,,,,,
A. Izzo,79,80,16000000,47000,29,183,81,Torino F.C.,Italian Serie A,RCB,Defense,Italy,Right,2,Normal (170-185),70,33,48,65,82,78
D. Zappacosta,79,79,15500000,51000,29,182,75,Atalanta,Italian Serie A,RM,Midfield,Italy,Right,2,Lean (170-185),76,66,73,74,75,71
A. Saint-Maximin,79,84,26500000,41000,24,173,67,Newcastle United,English Premier League,LS,Attack,France,Right,2,Stocky (170-185),91,69,70,87,25,61
H. Traoré,79,79,15500000,49000,29,175,71,Stade Rennais FC,French Ligue 1,RB,Defense,Mali,Right,2,Normal (170-185),85,54,72,76,73,77
R. Tapia,79,83,22000000,25000,25,185,80,RC Celta de Vigo,Spain Primera Division,CDM,Midfield,Peru,Right,1,Stocky (185+),69,69,72,73,79,82
D. Sánchez,79,81,19500000,77000,25,187,79,Tottenham Hotspur,English Premier League,RCB,Defense,Colombia,Right,2,Unique,75,45,55,65,80,80
Z. Çelik,79,82,22000000,32000,24,180,78,LOSC Lille,French Ligue 1,RB,Defense,Turkey,Right,2,Normal (170-185),79,58,71,72,75,79
A. Golovin,79,83,24500000,53000,25,180,69,AS Monaco,French Ligue 1,LF,Attack,Russia,Right,3,Lean (170-185),81,72,79,83,67,69
E. Buendía,79,84,26500000,61000,24,172,65,Aston Villa,English Premier League,RW,Attack,Argentina,Right,3,Stocky (170-185),73,73,80,81,64,67
Aritz Elustondo,79,81,18500000,34000,27,180,71,Real Sociedad,Spain Primera Division,RCB,Defense,Spain,Right,1,Normal (170-185),66,33,61,60,79,77
Pablo Fornals,79,82,23000000,69000,25,178,67,West Ham United,English Premier League,RM,Midfield,Spain,Right,2,Lean (170-185),68,74,79,79,69,68
K. Dolberg,79,83,25500000,37000,23,187,84,OGC Nice,French Ligue 1,RS,Attack,Denmark,Right,2,Normal (185+),73,81,69,77,30,68
Gabriel,79,84,24000000,65000,23,190,87,Arsenal,English Premier League,LCB,Defense,Brazil,Left,2,Normal (185+),68,36,60,58,80,80
M. Arambarri,79,84,23500000,29000,25,175,74,Getafe CF,Spain Primera Division,RDM,Midfield,Uruguay,Right,1,Normal (170-185),47,60,72,72,77,76
F. Tomori,79,85,25000000,35000,23,185,79,AC Milan,Italian Serie A,LCB,Defense,England,Right,2,Normal (185+),82,37,57,65,80,79
J. Ikoné,79,83,25000000,36000,23,175,73,LOSC Lille,French Ligue 1,RM,Midfield,France,Left,3,Normal (170-185),89,70,74,83,35,60
Y. Bissouma,79,84,24500000,50000,24,182,80,Brighton & Hove Albion,English Premier League,LCM,Midfield,Mali,Right,1,Normal (170-185),70,68,75,78,77,75
E. Bardhi,79,80,21000000,32000,25,172,64,Levante Unión Deportiva,Spain Primera Division,LM,Midfield,North Macedonia,Right,2,Normal (170-185),75,81,78,82,63,56
N. Maksimović,79,84,23000000,30000,26,189,78,Getafe CF,Spain Primera Division,LDM,Midfield,Serbia,Right,1,Normal (185+),56,68,75,71,77,78
A. Tchouaméni,79,85,28000000,41000,21,187,81,AS Monaco,French Ligue 1,LCM,Midfield,France,Right,2,Normal (185+),72,69,75,77,77,82
Emerson,79,84,25000000,70000,22,181,79,Tottenham Hotspur,English Premier League,RB,Defense,Brazil,Right,1,Lean (170-185),84,62,71,74,74,77
Bruno Guimarães,79,84,24500000,52000,23,182,78,Olympique Lyonnais,French Ligue 1,RDM,Midfield,Brazil,Right,2,Normal (170-185),68,63,78,78,73,75
S. Botman,79,85,25500000,27000,21,193,81,LOSC Lille,French Ligue 1,LCB,Defense,Netherlands,Left,2,Normal (185+),60,36,59,61,80,84
Pepe Reina,78,78,1600000,27000,38,188,92,Lazio,Italian Serie A,GK,GoalKeeper,Spain,Right,3,Unique,,,,,,
Negredo,78,78,6000000,27000,35,186,86,Cádiz CF,Spain Primera Division,ST,Attack,Spain,Left,3,Stocky (185+),59,81,64,72,36,77
F. Quagliarella,78,78,4800000,19000,38,180,79,U.C. Sampdoria,Italian Serie A,RS,Attack,Italy,Right,2,Normal (170-185),61,83,74,79,30,63
L. Koscielny,78,78,3700000,19000,35,186,80,FC Girondins de Bordeaux,French Ligue 1,CB,Defense,France,Right,3,Lean (185+),54,43,63,65,79,75
Falcao,78,78,6000000,19000,35,177,72,Rayo Vallecano,Spain Primera Division,ST,Attack,Colombia,Right,3,Normal (170-185),56,79,67,76,41,69
A. Guardado,78,78,4800000,24000,34,169,67,Real Betis Balompié,Spain Primera Division,LDM,Midfield,Mexico,Left,3,Lean (170-),64,68,80,79,73,69
C. Ansaldi,78,78,5000000,41000,34,181,76,Torino F.C.,Italian Serie A,LM,Midfield,Argentina,Right,2,Normal (170-185),77,64,76,77,72,70
A. Oukidja,78,78,7000000,17000,32,184,80,FC Metz,French Ligue 1,GK,GoalKeeper,Algeria,Right,2,Normal (170-185),,,,,,
Ángel,78,78,7000000,31000,34,172,68,RCD Mallorca,Spain Primera Division,ST,Attack,Spain,Right,1,Lean (170-185),71,81,61,78,34,66
Miguel Veloso,78,78,5500000,22000,35,180,79,Hellas Verona,Italian Serie A,LCM,Midfield,Portugal,Left,3,Normal (170-185),46,70,83,76,66,71
S. Coleman,78,78,9500000,69000,32,177,77,Everton,English Premier League,RB,Defense,Republic of Ireland,Right,2,Normal (170-185),66,65,73,76,78,70
M. Sissoko,78,78,10000000,51000,31,187,91,Watford,English Premier League,RCM,Midfield,France,Right,2,Unique,74,61,73,75,75,87
M. Darmian,78,78,10000000,77000,31,182,70,Inter,Italian Serie A,RM,Midfield,Italy,Right,2,Normal (170-185),70,58,69,74,78,68
G. Kakuta,78,78,13500000,32000,30,173,72,Racing Club de Lens,French Ligue 1,CAM,Midfield,Congo DR,Left,2,Lean (170-185),73,72,76,83,42,66
C. Kouyaté,78,78,9500000,51000,31,189,83,Crystal Palace,English Premier League,CDM,Midfield,Senegal,Right,2,Lean (185+),64,64,62,69,78,85
F. Caputo,78,78,9000000,38000,33,181,74,U.C. Sampdoria,Italian Serie A,LS,Attack,Italy,Right,1,Lean (170-185),82,79,62,78,30,67
G. Bonaventura,78,78,11500000,52000,31,181,75,Fiorentina,Italian Serie A,RCM,Midfield,Italy,Right,2,Normal (170-185),69,75,80,80,70,65
A. Westwood,78,78,10000000,36000,31,175,73,Burnley,English Premier League,RCM,Midfield,England,Right,1,Normal (170-185),58,62,80,74,74,75
Pedro,78,78,9000000,61000,33,169,65,Lazio,Italian Serie A,RW,Attack,Spain,Right,3,Lean (170-),74,73,77,84,40,52
Kike García,78,78,12000000,33000,31,186,79,CA Osasuna,Spain Primera Division,ST,Attack,Spain,Right,1,Normal (185+),61,81,64,74,44,74
Escudero,78,78,10000000,24000,31,176,72,Granada CF,Spain Primera Division,LB,Defense,Spain,Left,1,Lean (170-185),69,63,74,71,78,71
R. Soriano,78,78,13500000,35000,30,182,76,Bologna,Italian Serie A,CM,Midfield,Italy,Right,2,Normal (170-185),69,75,78,79,67,71
Víctor Ruiz,78,78,9000000,24000,32,185,78,Real Betis Balompié,Spain Primera Division,LCB,Defense,Spain,Left,2,Normal (185+),50,42,65,60,79,78
Laguardia,78,78,9500000,25000,31,185,80,Deportivo Alavés,Spain Primera Division,RCB,Defense,Spain,Right,1,Normal (185+),50,46,55,52,80,78
Fransérgio,78,78,13500000,29000,30,187,82,FC Girondins de Bordeaux,French Ligue 1,LCM,Midfield,Brazil,Right,1,Normal (185+),59,75,75,75,73,80
Oriol Romeu,78,78,12000000,53000,29,183,83,Southampton,English Premier League,LCM,Midfield,Spain,Right,2,Normal (170-185),41,44,62,65,80,81
Vitolo,78,78,11500000,50000,31,185,79,Getafe CF,Spain Primera Division,RM,Midfield,Spain,Right,2,Normal (185+),76,76,76,77,41,72
L. Dunk,78,79,13000000,56000,29,192,88,Brighton & Hove Albion,English Premier League,LCB,Defense,England,Right,1,Normal (185+),46,51,62,64,79,78
D. Sidibé,78,78,12500000,48000,28,182,71,AS Monaco,French Ligue 1,RCB,Defense,France,Right,2,Normal (170-185),74,62,74,74,74,79
Felipe Anderson,78,78,14000000,58000,28,175,70,Lazio,Italian Serie A,LW,Attack,Brazil,Right,3,Unique,85,74,76,82,55,59
J. Vestergaard,78,79,13500000,83000,28,199,96,Leicester City,English Premier League,LCB,Defense,Denmark,Right,2,Normal (185+),32,48,62,49,79,82
Héctor Bellerín,78,81,17000000,69000,26,178,74,Real Betis Balompié,Spain Primera Division,RB,Defense,Spain,Right,3,Lean (170-185),83,51,69,77,73,65
D. Suárez,78,78,7500000,28000,33,173,68,Getafe CF,Spain Primera Division,RB,Defense,Uruguay,Right,1,Normal (170-185),73,69,73,74,76,77
Mário Rui,78,78,12000000,54000,30,170,67,Napoli,Italian Serie A,LB,Defense,Portugal,Left,2,Lean (170-),80,49,73,79,71,64
Denis Suárez,78,79,16000000,26000,27,178,66,RC Celta de Vigo,Spain Primera Division,CM,Midfield,Spain,Right,2,Lean (170-185),74,71,81,80,61,56
P. Bamford,78,78,15000000,82000,27,185,71,Leeds United,English Premier League,ST,Attack,England,Left,2,Lean (185+),73,78,67,73,42,77
Moi Gómez,78,78,15000000,33000,27,176,73,Villarreal CF,Spain Primera Division,RM,Midfield,Spain,Right,1,Normal (170-185),68,74,77,78,55,61
B. Cristante,78,82,17500000,47000,26,186,80,Roma,Italian Serie A,RDM,Midfield,Italy,Right,2,Normal (185+),55,71,76,75,75,78
R. Saïss,78,78,9500000,69000,31,188,84,Wolverhampton Wanderers,English Premier League,LCB,Defense,Morocco,Left,1,Lean (185+),58,56,69,70,79,77
F. Mollet,78,78,14000000,30000,29,170,67,Montpellier Hérault SC,French Ligue 1,LM,Midfield,France,Right,2,Normal (170-),74,75,78,80,51,63
Emerson,78,79,15000000,85000,26,176,79,Olympique Lyonnais,French Ligue 1,LB,Defense,Italy,Left,2,Normal (170-185),80,63,70,78,75,63
J. McGinn,78,81,16500000,58000,26,178,68,Aston Villa,English Premier League,RCM,Midfield,Scotland,Left,2,Normal (170-185),70,73,75,78,71,80
M. Dembélé,78,82,20500000,57000,24,183,79,Olympique Lyonnais,French Ligue 1,ST,Attack,France,Right,2,Normal (170-185),78,77,63,73,30,82
T. Mings,78,80,14000000,61000,28,196,77,Aston Villa,English Premier League,LCB,Defense,England,Left,2,Normal (185+),72,44,67,66,78,81
Adama Traoré,78,81,18500000,79000,25,178,72,Wolverhampton Wanderers,English Premier League,LW,Attack,Spain,Right,1,Unique,96,66,67,86,38,81
B. Bourigeaud,78,79,16000000,47000,27,178,68,Stade Rennais FC,French Ligue 1,RCM,Midfield,France,Right,2,Lean (170-185),70,74,79,77,66,73
Ayoze Pérez,78,78,15000000,95000,27,178,72,Leicester City,English Premier League,RM,Midfield,Spain,Right,1,Lean (170-185),77,73,72,80,58,67
Dani García,78,78,11500000,29000,31,180,81,Athletic Club de Bilbao,Spain Primera Division,LCM,Midfield,Spain,Right,1,Normal (170-185),41,69,71,74,78,83
S. Fofana,78,80,17500000,32000,26,185,74,Racing Club de Lens,French Ligue 1,LCM,Midfield,Côte d'Ivoire,Right,2,Normal (185+),76,71,72,78,72,79
L. Dubois,78,79,15000000,55000,26,178,65,Olympique Lyonnais,French Ligue 1,RB,Defense,France,Right,3,Lean (170-185),72,59,75,73,76,74
Álex Moreno,78,78,12500000,25000,28,179,68,Real Betis Balompié,Spain Primera Division,LB,Defense,Spain,Left,1,Lean (170-185),88,60,71,77,71,64
L. Ajorque,78,79,16500000,29000,27,197,92,RC Strasbourg Alsace,French Ligue 1,LS,Attack,France,Left,2,Normal (185+),60,78,60,70,26,81
